,Unnamed: 0,video_file,start_tone,middle_tone,end_tone,Transition_val,social_message,Topic,Split,clip_feature_path,Link,Transcript
19,19,coldwell_banker_somebody_to_love.webm,positive,positive,positive,No transition,No,Misc,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/coldwell_banker_somebody_to_love.pkl,https://www.youtube.com/embed/y9mRJyHjqUw,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/coldwell_banker_somebody_to_love.txt
20,20,renault_theme_park.webm,positive,negative,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_theme_park.pkl,https://www.youtube.com/embed/ZVqhKjxCYEA,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/renault_theme_park.txt
21,21,con_edison_your_power.mkv,positive,positive,positive,No transition,No,Industrial and agriculture,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/con_edison_your_power.pkl,https://www.youtube.com/embed/MZDoIJWCjuE,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/con_edison_your_power.txt
22,22,fiat_heated_seats.mp4,neutral,neutral,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/fiat_heated_seats.pkl,https://player.vimeo.com/video/268663221,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/fiat_heated_seats.txt
23,23,toyota_drive_your_obsession.mkv,positive,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/toyota_drive_your_obsession.pkl,https://www.youtube.com/embed/gv1v0aKwfh8,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/toyota_drive_your_obsession.txt
24,24,bonami_the_dog.mp4,neutral,positive,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/bonami_the_dog.pkl,https://player.vimeo.com/video/238832946,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/bonami_the_dog.txt
25,25,erectastep_8th_wonder_of_the_world.mp4,positive,positive,positive,No transition,No,Industrial and agriculture,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/erectastep_8th_wonder_of_the_world.pkl,https://www.youtube.com/embed/8INRvIgVXFQ,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/erectastep_8th_wonder_of_the_world.txt
26,26,ram_trucks_school_talk.mkv,neutral,positive,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ram_trucks_school_talk.pkl,https://www.youtube.com/embed/LGIVBbrhvFY,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/ram_trucks_school_talk.txt
27,27,kia_the_suv_out_of_nowhere.mkv,positive,neutral,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/kia_the_suv_out_of_nowhere.pkl,https://www.youtube.com/embed/Et6KcFJ8kTc,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/kia_the_suv_out_of_nowhere.txt
28,28,gasco_lord_cochrane_1666.mkv,negative,negative,negative,No transition,No,Industrial and agriculture,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/gasco_lord_cochrane_1666.pkl,https://www.youtube.com/embed/NbPUgSHN8B8,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/gasco_lord_cochrane_1666.txt
29,29,renault_drive_the_future.webm,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_drive_the_future.pkl,https://www.youtube.com/embed/jTOvtcunHoY,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/renault_drive_the_future.txt
30,30,abarth_wasteland.mp4,negative,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/abarth_wasteland.pkl,https://player.vimeo.com/video/268944436,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/abarth_wasteland.txt
31,31,renault_design.mp4,positive,positive,positive,No transition,No,Car,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_design.pkl,https://www.youtube.com/embed/V1TwbySwY6g,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/renault_design.txt
32,32,mitsubishi_daughter.mkv,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/mitsubishi_daughter.pkl,https://www.youtube.com/embed/FQGE-sVBrU4,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/mitsubishi_daughter.txt
33,33,volkswagen_transporter_vs_telekinesis.mp4,negative,negative,negative,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_transporter_vs_telekinesis.pkl,https://player.vimeo.com/video/238747336,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/volkswagen_transporter_vs_telekinesis.txt
34,34,promart_long_way.mp4,neutral,negative,positive,Transition,No,Household,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/promart_long_way.pkl,https://player.vimeo.com/video/185404272,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/promart_long_way.txt
35,35,ferrari_ferrari_488_pista.mp4,neutral,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ferrari_ferrari_488_pista.pkl,https://www.youtube.com/embed/DS6Qe0tiIq8,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/ferrari_ferrari_488_pista.txt
36,36,mercedes_4fathers.mkv,neutral,negative,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/mercedes_4fathers.pkl,https://www.youtube.com/embed/lVJURoLHPHI,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/mercedes_4fathers.txt
37,37,volkswagen_red_flashy_thingy.mp4,positive,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_red_flashy_thingy.pkl,https://player.vimeo.com/video/254454629,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/volkswagen_red_flashy_thingy.txt
38,38,ford_performance_speed_therapy.mkv,neutral,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ford_performance_speed_therapy.pkl,https://www.youtube.com/embed/dZ_RVptsMYU,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/ford_performance_speed_therapy.txt
39,39,energy_upgrade_california_its_easy_to_stay_golden.mp4,positive,negative,positive,Transition,No,Industrial and agriculture,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/energy_upgrade_california_its_easy_to_stay_golden.pkl,https://www.youtube.com/embed/orys6Bjp3d4,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/energy_upgrade_california_its_easy_to_stay_golden.txt
40,40,volkswagen_transporter_vs_bodybuilders.mp4,negative,positive,neutral,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_transporter_vs_bodybuilders.pkl,https://player.vimeo.com/video/238748152,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/volkswagen_transporter_vs_bodybuilders.txt
41,41,polestar_the_break_up.mkv,negative,positive,positive,Transition,Yes,Car,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/polestar_the_break_up.pkl,https://www.youtube.com/embed/HwGXhZBtqrQ,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/polestar_the_break_up.txt
42,42,kingfisher_plc_start_something_new.mp4,negative,negative,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/kingfisher_plc_start_something_new.pkl,https://www.youtube.com/embed/Esga8INE-BY,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/kingfisher_plc_start_something_new.txt
43,43,volkswagen_crashed_cases.mkv,negative,neutral,positive,Transition,Yes,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_crashed_cases.pkl,https://www.youtube.com/embed/L4r5_-eEkL0,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/volkswagen_crashed_cases.txt
44,44,loctite_conference.webm,neutral,positive,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/loctite_conference.pkl,https://www.youtube.com/embed/EnhlTamQEIY,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/loctite_conference.txt
45,45,italian_trade_commission_made_in_italy.mkv,positive,neutral,neutral,Transition,No,Industrial and agriculture,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/italian_trade_commission_made_in_italy.pkl,https://www.youtube.com/embed/s_5OkTViEEQ,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/italian_trade_commission_made_in_italy.txt
46,46,dreamies_all_it_takes_is_a_shake_cat_borrowers_anna.mkv,positive,positive,positive,No transition,No,Misc,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/dreamies_all_it_takes_is_a_shake_cat_borrowers_anna.pkl,https://www.youtube.com/embed/xtMKi8vFuDM,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/dreamies_all_it_takes_is_a_shake_cat_borrowers_anna.txt
47,47,buster_punch_switch_up.webm,positive,positive,positive,No transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/buster_punch_switch_up.pkl,https://www.youtube.com/embed/CRQ7zRBM64U,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/buster_punch_switch_up.txt
48,48,nissan_simply_amazing.mp4,neutral,positive,positive,Transition,No,Car,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/nissan_simply_amazing.pkl,https://www.youtube.com/embed/RfswYPmqf2A,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/nissan_simply_amazing.txt
49,49,ikea_gul_45.mp4,positive,positive,positive,No transition,No,Household,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ikea_gul_45.pkl,https://player.vimeo.com/video/216659111,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/ikea_gul_45.txt
50,50,dreamies_all_it_takes_is_a_shake_cat_borrowers_grandma.webm,neutral,neutral,neutral,No transition,No,Misc,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/dreamies_all_it_takes_is_a_shake_cat_borrowers_grandma.pkl,https://www.youtube.com/embed/_fYQUSHlFtE,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/dreamies_all_it_takes_is_a_shake_cat_borrowers_grandma.txt
51,51,volkswagen_born_confident.mp4,neutral,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_born_confident.pkl,https://www.youtube.com/embed/Vgf95HwBS9o,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/volkswagen_born_confident.txt
52,52,herman_miller_achairworthfightingfor.mp4,neutral,negative,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/herman_miller_achairworthfightingfor.pkl,https://www.youtube.com/embed/QASRLpsD41U/l/PLIYvBdCzc6dE3uKJv2t7K1t1dLYr72p2i,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/herman_miller_achairworthfightingfor.txt
53,53,hyundai_make_quality_time_celebration.mp4,positive,positive,negative,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/hyundai_make_quality_time_celebration.pkl,https://www.youtube.com/embed/jtOn6eLg4lY,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/hyundai_make_quality_time_celebration.txt
54,54,adalskodun_the_heist.mp4,negative,negative,negative,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/adalskodun_the_heist.pkl,https://player.vimeo.com/video/143302492,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/adalskodun_the_heist.txt
55,55,geocell_dont_cut_down_decorate.mkv,positive,positive,positive,No transition,No,Industrial and agriculture,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/geocell_dont_cut_down_decorate.pkl,https://www.youtube.com/embed/lpPBJ7gdoX8,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/geocell_dont_cut_down_decorate.txt
56,56,audi_you_dare_or_you_dont.mkv,negative,neutral,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/audi_you_dare_or_you_dont.pkl,https://www.youtube.com/embed/_M6icajSj0M,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/audi_you_dare_or_you_dont.txt
57,57,skoda_km_converter.mp4,neutral,neutral,positive,Transition,No,Car,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/skoda_km_converter.pkl,https://www.youtube.com/embed/OTbVCdRAtrc,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/skoda_km_converter.txt
58,58,ford_vampire_kid.webm,neutral,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ford_vampire_kid.pkl,https://www.youtube.com/embed/kwHziCpoKuU,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/ford_vampire_kid.txt
59,59,socal_honda_dealers_sleigh_wash.mp4,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/socal_honda_dealers_sleigh_wash.pkl,https://www.youtube.com/embed/u6-tME2N21s,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/socal_honda_dealers_sleigh_wash.txt
60,60,volkswagen_simple_joys.mp4,neutral,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_simple_joys.pkl,https://player.vimeo.com/video/294239640,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/volkswagen_simple_joys.txt
61,61,renault_koleos_tv.mkv,negative,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_koleos_tv.pkl,https://www.youtube.com/embed/_7q6_z7WxE8,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/renault_koleos_tv.txt
62,62,jechangefr_sacrifices.mkv,neutral,negative,neutral,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/jechangefr_sacrifices.pkl,https://www.youtube.com/embed/8KDsyrwv35w,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/jechangefr_sacrifices.txt
63,63,ikea_survivor.mp4,negative,positive,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ikea_survivor.pkl,https://player.vimeo.com/video/168767606,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/ikea_survivor.txt
64,64,shell_tsg_euroshell_clients_forest.mp4,negative,positive,positive,Transition,Yes,Industrial and agriculture,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/shell_tsg_euroshell_clients_forest.pkl,https://www.youtube.com/embed/-DjjkkTr9E0,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/shell_tsg_euroshell_clients_forest.txt
65,65,loctite_circle.mkv,neutral,positive,positive,Transition,No,Household,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/loctite_circle.pkl,https://www.youtube.com/embed/2gqznGl2pAI,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/loctite_circle.txt
66,66,ikea_every_other_week.mp4,positive,positive,positive,No transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ikea_every_other_week.pkl,https://player.vimeo.com/video/182557020,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/ikea_every_other_week.txt
67,67,schmackos_the_german_shepherd.mp4,positive,positive,positive,No transition,No,Misc,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/schmackos_the_german_shepherd.pkl,https://player.vimeo.com/video/179140086,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/schmackos_the_german_shepherd.txt
68,68,mitsubishi_more_everything.mkv,neutral,positive,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/mitsubishi_more_everything.pkl,https://www.youtube.com/embed/8l55dujCEck,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/mitsubishi_more_everything.txt
69,69,kia_work_blind_spot.mp4,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/kia_work_blind_spot.pkl,https://player.vimeo.com/video/165207213,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/kia_work_blind_spot.txt
70,70,sniff_the_clasico_dogs.mkv,positive,positive,positive,No transition,Yes,Misc,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/sniff_the_clasico_dogs.pkl,https://www.youtube.com/embed/mQN6F-2aOEo,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/sniff_the_clasico_dogs.txt
71,71,kohler_jealous.mkv,positive,negative,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/kohler_jealous.pkl,https://www.youtube.com/embed/iHOTlODFQ_A,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/kohler_jealous.txt
72,72,renault_polar_limited_edition.mp4,negative,positive,positive,Transition,No,Car,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_polar_limited_edition.pkl,https://player.vimeo.com/video/306194628,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/renault_polar_limited_edition.txt
73,73,chevrolet_names.webm,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/chevrolet_names.pkl,https://www.youtube.com/embed/3jqrG-WkznE,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/chevrolet_names.txt
74,74,land_rover_martians_detected.webm,neutral,neutral,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/land_rover_martians_detected.pkl,https://www.youtube.com/embed/903dSEXgQgY/l/PLEJkjr_GztwIp5Qg-ADMmWBPpR44Mri4g,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/land_rover_martians_detected.txt
75,75,leroy_merlin_lifes_adventure.mkv,positive,positive,positive,No transition,No,Household,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/leroy_merlin_lifes_adventure.pkl,https://www.youtube.com/embed/mgLLbCY9L4o,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/leroy_merlin_lifes_adventure.txt
